,0
vz_rms,0.3440055917153449
vz_std,0.3111387760467112
sy_rms,0.10151822020647695
sy_std,0.06119028380208478
sx_max,0.03317069768491299
vx_std,0.0223633181827107
vy_mean,0.021500751899477175
sz_skewness,0.013705485574767575
vx_median,0.012915481661613321
vx_skewness,0.009375062001202545
vx_kurtosis,0.0059940563108173105
sy_skewness,0.005510111531076014
vy_min,0.005243539248670996
vy_std,0.0050524647522434294
vy_rms,0.004715317748986009
vy_kurtosis,0.004664304938238363
vx_min,0.004480088411336067
vz_max,0.00391971121581653
vx_mean,0.0036188702231360653
vx_rms,0.003349742617572505
sy_min,0.002296223232594079
sy_kurtosis,0.0019252189352746967
sx_skewness,0.0018013702931197154
vy_median,0.00177606001257928
vy_max,0.0014192697313763442
vy_skewness,0.0012615127657281896
sx_rms,0.0012023370286954845
sz_median,0.001131827558465172
vy_crest_factor,0.001127994768067112
sx_std,0.00101357992720443
vy_clearance_factor,0.000965254864528806
sz_mean,0.0008365690958396662
sz_rms,0.0007430781827540687
sx_kurtosis,0.0005988087984831939
vx_crest_factor,0.0005853117814347609
sz_std,0.0004553783499126556
vz_skewness,0.00038500975336423787
sx_min,0.0003126446395798418
sy_max,0.00030167723116948604
sz_kurtosis,0.00024741406486508265
vx_clearance_factor,0.0002260331548300777
sz_crest_factor,0.00022465178818928394
sx_crest_factor,0.00022399390347570944
vz_kurtosis,0.00020351452026704629
vx_max,0.0001574154780295358
sz_max,0.00013992246504950558
sx_clearance_factor,0.00013737617815087606
sy_clearance_factor,0.00011690634935949429
sy_crest_factor,0.00010159869291880508
sz_clearance_factor,9.091024376531424e-05
sx_median,8.01198933366521e-05
vz_median,7.540322491913671e-05
vz_min,7.349214097985831e-05
sy_median,6.547751891061947e-05
vz_clearance_factor,6.377781153217596e-05
vz_crest_factor,6.323914516740544e-05
vz_mean,5.2605242130963813e-05
sy_mean,4.702549572138663e-05
sx_mean,3.7662217003353336e-05
sz_min,4.577480310936012e-07
temp_mean,0.0
temp_std,0.0
temp_min,0.0
temp_max,0.0
temp_median,0.0
temp_rms,0.0
temp_skewness,0.0
temp_kurtosis,0.0
temp_crest_factor,0.0
temp_clearance_factor,0.0
